"","state_Rnls","a_Rnls","b1_Rnls","b2_Rnls","V_A_Rnls","V_B1_Rnls","V_B2_Rnls","C_AB1_Rnls","C_AB2_Rnls","C_B1B2_Rnls","a","b1","b2","tau","R"
"25","Missouri",1.40278939081646,2.1996819107692,-0.0330243169409325,0.0115303533422485,0.0817375967303831,5.84091762155826e-05,-0.00264794334828142,-0.0005817138621636,-0.000982440346455363,1.4013453476517,2.19834150792257,-0.0329439301779598,17.136337,0.288357604776861
"26","Montana",1.56824896564649,2.41437115035047,-0.0421690462799647,0.00811525062095547,0.0993696202249514,7.54510777974459e-05,-0.000638640334635241,-0.000517846056240599,-0.00144570110902723,1.56700035178457,2.41294626898989,-0.042085243443287,17.043323,0.30604313570867
"27","Nebraska",1.47486093250965,2.86564183035494,-0.0456694271744442,0.00765703755138377,0.185085794564837,8.83486092437027e-05,0.00216881153016059,-0.000500581548625677,-0.00255570828691535,1.47361663912622,2.86372353905865,-0.0455879622930348,16.998621,0.321281939901764
"28","Nevada",1.68961419398551,4.04272390356899,-0.0394071512189598,0.0199678963346031,0.17624244313285,4.96496023156639e-05,-0.00438625185683371,-0.000675640975661875,-0.00138561344501464,1.68770072115345,4.04078208919325,-0.0393370524013171,15.940505,0.420415987341035
"29","New Hampshire",1.3859967642002,2.07801329494983,-0.0196064566006124,0.0384839936505889,0.20396906261224,6.52870385767087e-05,-0.000660622274733143,-0.00124135532894403,-0.00178546221355194,1.38326672446008,2.07597315465018,-0.019487105967871,16.917936,0.296374647107805
"30","New Jersey",1.56646073131639,4.37155536151169,-0.0397984058533642,0.010248691519973,0.180173613229996,3.43306162471513e-05,-0.00116501667024415,-0.000346174869527443,-0.00137849894446861,1.56506064175621,4.36963778417444,-0.0397489433603665,15.902454,0.429296659936356
"31","New Mexico",1.04062491092151,4.20760391303596,-0.0286112516309073,0.0207191321458814,0.0590903018908583,1.34675598780303e-05,-0.0089109456416818,-0.000409995994454925,-0.000226846945908073,1.03899774941166,4.20610699925132,-0.0285695490957426,16.091759,0.398360281946505
"32","New York",1.35341561080726,3.99270193712197,-0.0296406632578445,0.00817381384662021,0.0503956405715982,9.81344392974808e-06,-0.00307898789556746,-0.000193032413057112,-0.000283440255092525,1.35224709747652,3.99160327137812,-0.0296088053780355,15.947114,0.407583766919934
"33","North Carolina",1.23619085795027,2.54961622144534,-0.0343639680236574,0.00676469962494089,0.0408506997603141,2.5891114636323e-05,-0.00225884859077224,-0.000294347906550852,-0.000415927834659713,1.23511717469449,2.5486336751306,-0.0343107048920761,17.137036,0.295223844485125
"34","North Dakota",1.53500890393441,3.28913614085962,-0.0717234109006773,0.00552368133331724,0.173738472943519,0.000179353290324518,-0.000787413683559623,-0.000501175150428851,-0.00292701569825508,1.53397691422594,3.28725854708615,-0.071631438670997,17.291821,0.318080123801698
"35","Ohio",1.3482637417857,3.17171786300071,-0.0291165500676073,0.010323711055929,0.0509675053602872,1.67065938851369e-05,-0.00331386140283219,-0.000304135846352441,-0.000350942414754193,1.34695028960233,3.17059089329046,-0.0290720215255284,16.477401,0.35410409582052
"36","Oklahoma",1.26326063328375,2.69016049654931,-0.0237950643496262,0.0203718712808471,0.0567857277559608,2.09945827808633e-05,-0.00877023467711732,-0.00051729946727108,-0.000261569011016712,1.26165834498264,2.68867686507445,-0.0237423031827459,16.717053,0.322395622731788
"37","Oregon",1.56738305009072,3.79330130367628,-0.0352750794428328,0.0169523124034844,0.149855516169448,3.96394979279088e-05,-0.0046937711321894,-0.00054568755414489,-0.00109194644448251,1.565636306855,3.79149780624176,-0.0352140339695625,16.068675,0.402267287533055
"38","Pennsylvania",1.56262426840061,2.75856468383904,-0.0270068357965964,0.0121378978580811,0.0596632426266769,2.20405908350947e-05,-0.00410876915387056,-0.000381512954936769,-0.000415903743938407,1.56120808915555,2.75733816506319,-0.0269556984067751,16.457401,0.347612901664494
"39","Rhode Island",1.52711707344318,2.77789971661263,-0.0219892710896569,0.0522254123900827,0.167002606446107,4.78624941884391e-05,-0.0220893287929453,-0.00122810887722846,-0.000738922244423962,1.52444556657411,2.77551226479755,-0.0219109284814477,16.31827,0.3542916580149
"40","South Carolina",1.3020217686292,1.80016297682107,-0.0231253332653281,0.0268621725199669,0.0617984591984258,5.37272165324023e-05,-0.0148223209428134,-0.000953344383451049,-0.000201703061187227,1.30050506076039,1.79836417238138,-0.02304899413169,17.273579,0.262849577109084
"41","South Dakota",1.61951378815095,3.80171901397764,-0.0805775202815541,0.00603847429446989,0.188068544641003,0.000206108913317326,-0.00171042691439752,-0.000528757020715602,-0.00300706627640484,1.61844474424853,3.79976025567689,-0.0804874617090195,17.202991,0.340204256977662
"42","Tennessee",1.30778416967177,2.3823084669004,-0.0379195142644051,0.00734916174109723,0.0570863561722498,4.57725582611236e-05,-0.00182877092766458,-0.000396848967812705,-0.000738073746770761,1.30663216798348,2.38119154607352,-0.0378509997833705,17.240854,0.286134830680123
"43","Texas",1.3438305534796,2.75032455913629,-0.0260570422122852,0.00419736298579017,0.0189239691975747,6.64507025612882e-06,-0.00123307884714002,-0.000124261578007279,-0.000140588381211867,1.34299149894539,2.74963278710307,-0.0260279913519333,16.664122,0.329627557685846
"44","Utah",2.03881379643035,2.01700187307754,-0.0329331154505267,0.0113243749996637,0.170160053826036,0.000100571821502356,0.00291143137096656,-0.000736455760831009,-0.00248049290628574,2.0372967356601,2.01517581484509,-0.0328344381223863,16.58926,0.33118537697471
"45","Vermont",1.41055948199864,3.21088983566989,-0.035120369270258,0.0196657932306358,0.199729000689435,6.72302851097989e-05,-0.00190965886724155,-0.000789972607138411,-0.00182802889742205,1.40862345068589,3.20886067956248,-0.0350388568486622,16.58522,0.352604226783568
"46","Virginia",1.23275185866286,2.04730587014329,-0.0260703590457188,0.00725664465540176,0.0516557329160367,2.64201922398352e-05,-0.00145646850205608,-0.000308557549622961,-0.000552883578824154,1.23160015398792,2.04624593484637,-0.0260161352029694,17.251924,0.270942079290027
"47","Washington",1.64241506247391,3.12080562339944,-0.0292448006333124,0.015288527193259,0.130893329566427,3.5200926340477e-05,-0.00250947282371401,-0.000507860421363593,-0.00102440162527268,1.64072724738359,3.11914229001184,-0.0291847850987016,16.205077,0.375246324977654
"48","West Virginia",1.36677450636928,2.43569286661533,-0.0255649120711351,0.0218716687495009,0.0549706843268423,3.19143948262259e-05,-0.0101647830095365,-0.000662778300387734,-0.000252252513976495,1.36521643262611,2.43412917349347,-0.0255020998389105,16.834989,0.310846370616127
"49","Wisconsin",1.53160074015552,4.1169266531869,-0.0490859123915843,0.00874726690624635,0.1601697542485,5.17957938000859e-05,-0.000370933911535574,-0.000410078489894221,-0.00155525878469764,1.53030038161807,4.11512512451792,-0.0489891968021775,16.415796,0.395088505958652
"50","Wyoming",1.66325270028952,1.68008581101373,-0.0325070078720785,0.0178767149355396,0.141817145061356,0.000161075903815853,0.000458006503022475,-0.00124800023013023,-0.00252707365989802,1.66139130815455,1.68178787558391,-0.0324306840801027,17.165734,0.277144975191014
