"","state_Rnls","algo_Rnls","a_Rnls","b1_Rnls","b2_Rnls","V_A_Rnls","V_B1_Rnls","V_B2_Rnls","C_AB1_Rnls","C_AB2_Rnls","C_B1B2_Rnls","a","b1","b2","tau","R"
"1","Alabama","gnr",1.27646145525795,1.85889360992913,-0.0218776612260525,0.0137450647157875,0.0280855200594939,2.2010098713299e-05,-0.00714999048547445,-0.000444025211356758,-8.56059575559197e-05,1.27542383306754,1.85760736830694,-0.0218283220564707,17.235522,0.265994111726059
"2","Alaska","gnr",1.43575193628889,3.76590948942311,-0.0205831101840888,0.0401533558223373,0.113623557671777,1.67462453400278e-05,-0.0167996687902358,-0.0006583342358655,-0.000300060637073257,1.43347370744524,3.76383771964644,-0.0205365135338574,15.621676,0.417416981161312
"3","Arizona","gnr",1.54469722519291,3.19307964509031,-0.0265026499270168,0.0155529287066882,0.0777503803495855,1.96845273885702e-05,-0.00368489439262871,-0.000414609090308405,-0.00051949394157028,1.54304517607261,3.19172501500293,-0.0264526196222345,16.164437,0.376361618801785
"4","Arkansas","nl2sol",1.47262649565514,1.6874279044956,-0.0233763780940561,0.0191877879632307,0.0462848158986498,4.59213999316174e-05,-0.00864666986030793,-0.000750342638801512,-0.000293390117428682,1.4711743463834,1.68596957368802,-0.0232993354074413,17.18389,0.269415571519187
"5","California","nl2sol",1.52208467821231,4.40948816231995,-0.0261926612488777,0.00350997667400876,0.0197509339147679,2.50405130129112e-06,-0.00112537764705056,-6.64470154677898e-05,-9.16144358750715e-05,1.5213122289911,4.40880044335302,-0.0261758131198083,15.315284,0.454674545600509
"6","Colorado","nl2sol",1.53775919936039,2.56663214962572,-0.0260678800231305,0.0198762946840275,0.150337503318106,4.75740058691331e-05,-0.0018700158076993,-0.000697808710983079,-0.00134943873494259,1.53581704484314,2.56486155448199,-0.0259943728620565,16.589118,0.334028849116068
"7","Connecticut","nl2sol",1.57442088332018,2.85618519868031,-0.0271488903115704,0.0229145146839189,0.139894128902399,4.84210688908384e-05,-0.00754524871804465,-0.000728652789032916,-0.00104467218006307,1.57244179927666,2.85437080013348,-0.0270781568807115,16.383264,0.355309599396058
"8","Delaware","gnr",1.48057737361364,2.11716879211397,-0.0252262072557923,0.0304452209896577,0.148291181781998,7.87122747862511e-05,-0.00728061620656223,-0.00116019080254688,-0.00143318673132432,1.4782697663636,2.11529074103176,-0.0251258834989041,16.927428,0.299192630134183
"9","Florida","nl2sol",1.26195739429913,2.70748149554349,-0.0317672860232553,0.00459224079143454,0.0255672537792497,1.21516094460265e-05,-0.00136252778504032,-0.000171639824421185,-0.000229026152330521,1.26106859717007,2.70670278675744,-0.0317292529630564,16.946703,0.311433823890728
"10","Georgia","nl2sol",1.46244085068874,2.71545773948203,-0.032864759652991,0.00959410405051645,0.0548013281822364,2.79739150280024e-05,-0.00336353753687754,-0.000365336476589186,-0.000497707007884094,1.46117228124207,2.71430673211073,-0.032808717505394,16.760363,0.327850625137863
