"","a_Rnls","b1_Rnls","b2_Rnls","V_A_Rnls","V_B1_Rnls","V_B2_Rnls","C_AB1_Rnls","C_AB2_Rnls","C_B1B2_Rnls","state_Rnls","algo_Rnls"
"1",1.52208467821231,4.40948816231995,-0.0261926612488777,0.00350997667400876,0.0197509339147679,2.50405130129112e-06,-0.00112537764705056,-6.64470154677898e-05,-9.16144358750715e-05,"California","nl2sol"
"2",1.7425767017788,2.04322739431135,-0.0235156448684678,0.0336339144665357,0.115712137913051,7.00617694858923e-05,-0.00609991050907782,-0.0012466112896218,-0.0010648550292736,"Wyoming","nl2sol"
"3",1.71261903620749,2.2609198113947,-0.0364302637185469,0.00851216191117901,0.0836844967900712,6.09632371294231e-05,-0.000847933111950205,-0.000495236859948021,-0.00114121222989495,"Indiana","nl2sol"
"4",1.52141880735258,2.62308960883829,-0.0344442075150715,0.00835568722851372,0.0403767124868033,2.78727922576987e-05,-0.00317260595242559,-0.000341636062619367,-0.000398738461572942,"Louisiana","nl2sol"
"5",1.37722993661123,2.81655342353622,-0.0227492100676941,0.0052221039304072,0.0171409751548195,5.08707879609604e-06,-0.00181154085518243,-0.000126015105760863,-9.69417697256632e-05,"Texas","nl2sol"
"6",1.54962244898081,3.13276462086827,-0.0292387050612954,0.0217466261127096,0.167660217699502,4.54548623549436e-05,-0.00222136233609285,-0.000721131674618875,-0.00132615439234426,"Vermont","nl2sol"
"7",1.77352915623807,4.1355615796241,-0.0291499730137231,0.0231577676211722,0.162166335795483,2.60682069977528e-05,-0.00576552417141445,-0.000546307854155548,-0.000914782936484232,"Oregon","nl2sol"
"8",1.39342246044447,2.8547808521451,-0.0210773159067684,0.0309546952749219,0.0547264597721011,1.79654993842674e-05,-0.0164272622854392,-0.000617560177035293,-4.85622124789656e-05,"West Virginia","nl2sol"
"9",1.52176249259302,3.68132210349901,-0.0302443345239891,0.00681763416363095,0.0567880905669985,1.1606899203061e-05,-0.00116369619168729,-0.000193799270147974,-0.00039607454738944,"Illinois","nl2sol"
"10",1.61831245652342,2.61663078313509,-0.0298719129033515,0.0242403538430448,0.118369958926846,6.00643381865469e-05,-0.00645502064905727,-0.000889897130553918,-0.00109719278975742,"Kentucky","gnr"
"11",1.46641829086438,2.62881474759127,-0.0345997057798539,0.0127793202918403,0.0478199871548745,3.60169450628212e-05,-0.0053179520228601,-0.000506922067687536,-0.000402632204262683,"Mississippi","gnr"
"12",1.80399246635883,3.78527084192574,-0.0401486751546098,0.0108244079285891,0.212499047651632,5.40436463394217e-05,0.00108382271957841,-0.000467051421923829,-0.00195712445642041,"Minnesota","nl2sol"
"13",1.26195739429913,2.70748149554349,-0.0317672860232553,0.00459224079143454,0.0255672537792497,1.21516094460265e-05,-0.00136252778504032,-0.000171639824421185,-0.000229026152330521,"Florida","nl2sol"
"14",1.34477027113311,2.58696388963474,-0.0184883982757543,0.0316871362441453,0.0542223828634714,1.63324985916692e-05,-0.0162113826816484,-0.000597368963205039,-6.72269210826648e-05,"Oklahoma","gnr"
"15",1.44262011507369,1.90324245364517,-0.0211714864777788,0.0288506158006452,0.0565414859604992,3.92250727807874e-05,-0.0166129976671536,-0.000858243766573813,-7.84829948990052e-05,"South Carolina","gnr"
"16",1.63876190484091,4.33986459292727,-0.0368268351296176,0.0105167978302573,0.164319034431175,2.82330189523533e-05,-0.001271814321036,-0.000324136891412783,-0.00119702997511674,"New Jersey","nl2sol"
"17",1.33650010094479,3.65857645167768,-0.014444013615399,0.100170189618768,0.169522505791972,1.63405005763546e-05,-0.0470855284172273,-0.00108097723470356,-0.000130139629075875,"Hawaii","nl2sol"
"18",1.46244085068874,2.71545773948203,-0.032864759652991,0.00959410405051645,0.0548013281822364,2.79739150280024e-05,-0.00336353753687754,-0.000365336476589186,-0.000497707007884094,"Georgia","nl2sol"
"19",1.64316347478167,3.43968755972344,-0.0267994247373417,0.0117567368762687,0.100682884496232,1.93603504397347e-05,-0.00247761262086902,-0.000316743903785544,-0.000679780823915215,"Massachusetts","nl2sol"
"20",1.44327348660564,3.26822476772026,-0.0249581081145646,0.0120726764289876,0.0480522764144679,1.19919752881068e-05,-0.00393236129518859,-0.000289415080822743,-0.000263696073480936,"Ohio","nl2sol"
"21",1.78614935704651,4.20697035221534,-0.0462180405839096,0.00907759398964694,0.173531901224933,4.53409700924393e-05,0.000217076082125176,-0.000391558843238422,-0.00158687407821896,"Wisconsin","nl2sol"
"22",1.27646145525795,1.85889360992913,-0.0218776612260525,0.0137450647157875,0.0280855200594939,2.2010098713299e-05,-0.00714999048547445,-0.000444025211356758,-8.56059575559197e-05,"Alabama","gnr"
"23",1.48057737361364,2.11716879211397,-0.0252262072557923,0.0304452209896577,0.148291181781998,7.87122747862511e-05,-0.00728061620656223,-0.00116019080254688,-0.00143318673132432,"Delaware","gnr"
"24",1.43575193628889,3.76590948942311,-0.0205831101840888,0.0401533558223373,0.113623557671777,1.67462453400278e-05,-0.0167996687902358,-0.0006583342358655,-0.000300060637073257,"Alaska","gnr"
"25",2.26041536747481,1.98661352851673,-0.0262977492872914,0.0149049011215932,0.134547323759855,6.4217944616153e-05,0.00158185839883121,-0.000724307565970039,-0.00162028000794155,"Utah","nl2sol"
"26",1.48815530080859,2.33070718037972,-0.0294157002614634,0.0103576592777993,0.0504741355059745,3.04406461788681e-05,-0.00309020088941862,-0.000414821315288647,-0.000488877927742734,"Tennessee","nl2sol"
"27",1.05506302032695,4.11215197448749,-0.0250133048695807,0.0254781375922246,0.0564996097690096,1.15702205129743e-05,-0.0116453569035219,-0.000436195256781017,-0.00014570600444773,"New Mexico","gnr"
"28",1.96309180899637,2.90356471128263,-0.0356942721458433,0.0118471680743168,0.1049623285464,4.82266687438315e-05,-0.00248763546840715,-0.000506644617991234,-0.00107862759425787,"Michigan","nl2sol"
"29",1.37620164355027,2.27627626428485,-0.023997881793386,0.00790458348009866,0.0511047654285738,1.86072423665464e-05,-0.0015180651493343,-0.000275144220901377,-0.000459397390654426,"Virginia","gnr"
"30",1.29624463667795,2.8206259856856,-0.019664912399815,0.0247629591136124,0.123204761837963,2.30720310314502e-05,-0.0050376023440752,-0.000567521249305353,-0.000723730902356619,"Maryland","gnr"
"31",1.50638632704019,2.37902332727083,-0.0196549554240738,0.0334026457757676,0.201342012951518,4.67235927294271e-05,0.00177748689852258,-0.000969521929145817,-0.00159802463759383,"New Hampshire","nl2sol"
"32",1.65741700814287,2.35959451921792,-0.0286290356816773,0.013377117378174,0.0734789493617676,3.85593171568401e-05,-0.00217148191853313,-0.000543278038541649,-0.000744016415236171,"Montana","nl2sol"
"33",1.40713254311601,2.69182682216521,-0.0338427757010894,0.00660644324776962,0.0416298214605001,2.24061844439185e-05,-0.00195795788714376,-0.000270781693961285,-0.000410533265489283,"North Carolina","nl2sol"
"34",1.54469722519291,3.19307964509031,-0.0265026499270168,0.0155529287066882,0.0777503803495855,1.96845273885702e-05,-0.00368489439262871,-0.000414609090308405,-0.00051949394157028,"Arizona","gnr"
"35",1.8320866349494,3.56065216225868,-0.0695232740451294,0.00578081016262374,0.191005147660015,0.000155960742462,-0.000748278953790255,-0.000473079853456358,-0.00288103186128233,"North Dakota","gnr"
"36",1.5050096420257,3.47692333026524,-0.0292551870874363,0.0350665734744089,0.217430137884128,5.35385066478552e-05,-0.00473204990512286,-0.00100489137519471,-0.00161876916447232,"Maine","nl2sol"
"37",1.47262649565514,1.6874279044956,-0.0233763780940561,0.0191877879632307,0.0462848158986498,4.59213999316174e-05,-0.00864666986030793,-0.000750342638801512,-0.000293390117428682,"Arkansas","nl2sol"
"38",1.73514090598129,1.96018297694929,-0.0194992652184617,0.026978856987708,0.0626193641480787,3.16611830385482e-05,-0.00972968176014358,-0.000762456651628837,-0.000342336589255732,"Idaho","nl2sol"
"39",1.84169829425574,3.95968269330935,-0.0355909676435391,0.0236031003991037,0.185825488532966,4.57067175570622e-05,-0.00402056048834305,-0.000730688020169393,-0.00139133978015407,"Nevada","gnr"
