table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),
Geographic Area,Population
".Lincoln County, Arkansas","13,184"
".Little River County, Arkansas","12,297"
".Logan County, Arkansas","21,673"
".Lonoke County, Arkansas","73,391"
".Madison County, Arkansas","16,362"
".Marion County, Arkansas","16,665"
".Miller County, Arkansas","43,362"
".Mississippi County, Arkansas","41,236"
".Monroe County, Arkansas","6,880"
".Montgomery County, Arkansas","8,910"
".Nevada County, Arkansas","8,308"
".Newton County, Arkansas","7,800"
".Ouachita County, Arkansas","23,620"
".Perry County, Arkansas","10,380"
".Phillips County, Arkansas","18,054"
".Pike County, Arkansas","10,666"
".Poinsett County, Arkansas","23,903"
".Polk County, Arkansas","20,019"
".Pope County, Arkansas","63,594"
".Prairie County, Arkansas","8,082"
".Pulaski County, Arkansas","391,918"
".Randolph County, Arkansas","17,970"
".St. Francis County, Arkansas","25,509"
".Saline County, Arkansas","121,074"
".Scott County, Arkansas","10,339"
".Searcy County, Arkansas","7,930"
".Sebastian County, Arkansas","127,570"
".Sevier County, Arkansas","17,061"
".Sharp County, Arkansas","17,290"
".Stone County, Arkansas","12,454"
".Union County, Arkansas","39,139"
".Van Buren County, Arkansas","16,635"
".Washington County, Arkansas","236,611"
".White County, Arkansas","78,381"
".Woodruff County, Arkansas","6,466"
".Yell County, Arkansas","21,462"
".Alameda County, California","1,666,756"
".Alpine County, California","1,089"
".Amador County, California","39,405"
".Butte County, California","230,339"
".Calaveras County, California","45,698"
".Colusa County, California","21,418"
".Contra Costa County, California","1,150,519"
".Del Norte County, California","27,740"
".El Dorado County, California","190,746"
".Fresno County, California","991,950"
".Glenn County, California","27,967"
".Humboldt County, California","136,244"
".Imperial County, California","181,523"
".Inyo County, California","17,946"
".Kern County, California","893,758"
".Kings County, California","151,382"
".Lake County, California","64,317"
".Lassen County, California","30,618"
".Los Angeles County, California","10,073,906"
".Madera County, California","156,882"
".Marin County, California","259,662"
".Mariposa County, California","17,405"
".Mendocino County, California","87,401"
".Merced County, California","274,151"
".Modoc County, California","8,800"
".Mono County, California","14,403"
".Monterey County, California","433,950"
".Napa County, California","138,789"
".Nevada County, California","99,508"
".Orange County, California","3,175,973"
".Placer County, California","392,330"
".Plumas County, California","18,741"
".Riverside County, California","2,445,789"
".Sacramento County, California","1,538,746"
".San Benito County, California","61,467"
".San Bernardino County, California","2,166,753"
".San Diego County, California","3,333,861"
".San Francisco County, California","880,696"
".San Joaquin County, California","752,491"
".San Luis Obispo County, California","283,354"
".San Mateo County, California","768,681"
".Santa Barbara County, California","445,780"
".Santa Clara County, California","1,932,337"
".Santa Cruz County, California","273,841"
".Shasta County, California","179,709"
".Sierra County, California","2,997"
".Siskiyou County, California","43,550"
".Solano County, California","445,725"
".Sonoma County, California","498,643"
".Stanislaus County, California","548,126"
".Sutter County, California","96,348"
".Tehama County, California","64,018"
".Trinity County, California","12,567"
".Tulare County, California","464,589"
".Tuolumne County, California","54,387"
".Ventura County, California","848,142"
".Yolo County, California","220,118"
".Yuba County, California","77,557"
".Adams County, Colorado","511,354"
".Alamosa County, Colorado","16,248"
".Arapahoe County, Colorado","651,797"
".Archuleta County, Colorado","13,730"
".Baca County, Colorado","3,584"
".Bent County, Colorado","5,808"
".Boulder County, Colorado","324,636"
".Broomfield County, Colorado","69,324"
".Chaffee County, Colorado","20,041"
".Cheyenne County, Colorado","1,859"
".Clear Creek County, Colorado","9,604"
".Conejos County, Colorado","8,181"
".Costilla County, Colorado","3,812"
".Crowley County, Colorado","5,957"
".Custer County, Colorado","4,934"
".Delta County, Colorado","30,884"
".Denver County, Colorado","716,265"
".Dolores County, Colorado","2,060"
".Douglas County, Colorado","342,989"
".Eagle County, Colorado","54,943"
".Elbert County, Colorado","26,303"
".El Paso County, Colorado","712,089"
".Fremont County, Colorado","47,959"
".Garfield County, Colorado","59,701"
".Gilpin County, Colorado","6,112"
".Grand County, Colorado","15,511"
".Gunnison County, Colorado","17,167"
".Hinsdale County, Colorado",808
".Huerfano County, Colorado","6,887"
".Jackson County, Colorado","1,395"
".Jefferson County, Colorado","579,392"
".Kiowa County, Colorado","1,379"
".Kit Carson County, Colorado","7,159"
".Lake County, Colorado","7,846"
".La Plata County, Colorado","56,299"
".Larimer County, Colorado","350,660"
".Las Animas County, Colorado","14,508"
".Lincoln County, Colorado","5,606"
".Logan County, Colorado","22,268"
".Mesa County, Colorado","152,951"
".Mineral County, Colorado",772
".Moffat County, Colorado","13,183"
".Montezuma County, Colorado","26,152"
".Montrose County, Colorado","42,206"
".Morgan County, Colorado","28,769"
".Otero County, Colorado","18,338"
".Ouray County, Colorado","4,822"
".Park County, Colorado","18,525"
".Phillips County, Colorado","4,285"
".Pitkin County, Colorado","17,976"
".Prowers County, Colorado","12,079"
".Pueblo County, Colorado","167,422"
".Rio Blanco County, Colorado","6,330"
".Rio Grande County, Colorado","11,271"
".Routt County, Colorado","25,507"
".Saguache County, Colorado","6,840"
".San Juan County, Colorado",764
".San Miguel County, Colorado","8,180"
".Sedgwick County, Colorado","2,276"
".Summit County, Colorado","30,817"
".Teller County, Colorado","25,113"
".Washington County, Colorado","4,888"
".Weld County, Colorado","314,815"
".Yuma County, Colorado","9,947"
".Fairfield County, Connecticut","943,971"
".Hartford County, Connecticut","892,580"
".Litchfield County, Connecticut","181,095"
".Middlesex County, Connecticut","162,870"
".New Haven County, Connecticut","856,971"
".New London County, Connecticut","266,285"
".Tolland County, Connecticut","150,689"
".Windham County, Connecticut","117,059"
".Kent County, Delaware","178,540"
".New Castle County, Delaware","557,550"
".Sussex County, Delaware","229,389"
".District of Columbia, District of Columbia","701,547"
".Alachua County, Florida","268,851"
".Baker County, Florida","28,353"
".Bay County, Florida","186,240"
".Bradford County, Florida","27,752"
".Brevard County, Florida","595,203"
".Broward County, Florida","1,946,107"
".Calhoun County, Florida","14,543"
".Charlotte County, Florida","184,849"
".Citrus County, Florida","147,682"
".Clay County, Florida","215,908"
".Collier County, Florida","378,201"
".Columbia County, Florida","70,668"
".DeSoto County, Florida","37,368"
".Dixie County, Florida","16,685"
".Duval County, Florida","948,652"
".Escambia County, Florida","315,104"
".Flagler County, Florida","112,085"
".Franklin County, Florida","11,676"
".Gadsden County, Florida","45,927"
".Gilchrist County, Florida","18,284"
".Glades County, Florida","13,686"
".Gulf County, Florida","16,146"
".Hamilton County, Florida","14,262"
".Hardee County, Florida","27,168"
".Hendry County, Florida","41,336"
".Hernando County, Florida","190,582"
".Highlands County, Florida","104,933"
".Hillsborough County, Florida","1,451,919"
".Holmes County, Florida","19,443"
".Indian River County, Florida","157,187"
".Jackson County, Florida","48,112"
".Jefferson County, Florida","14,321"
".Lafayette County, Florida","8,691"
".Lake County, Florida","356,720"
".Lee County, Florida","754,470"
".Leon County, Florida","291,657"
".Levy County, Florida","40,798"
".Liberty County, Florida","8,427"
".Madison County, Florida","18,540"
".Manatee County, Florida","394,387"
".Marion County, Florida","359,062"
".Martin County, Florida","160,742"
